threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.3,2915,1158,1757,1058,100,0.9136442141623489,0.3972555746140652,0.36295025728987995,1,0.19872545493044336,1.7104874446085672,1666,0.9482071713147411,290,291,295,701,30,39,22
0.32499999999999996,2424,1018,1406,934,84,0.9174852652259332,0.41996699669966997,0.38531353135313534,1,0.2025665059940277,1.5036927621861151,1323,0.9409672830725462,236,239,220,584,28,34,21
0.35,2018,894,1124,818,76,0.9149888143176734,0.44301288404360756,0.4053518334985134,1,0.20007005508576792,1.3205317577548006,1045,0.9297153024911032,187,186,146,494,27,31,21
0.37499999999999994,1719,822,897,756,66,0.9197080291970803,0.4781849912739965,0.4397905759162304,1,0.20478926996517477,1.2141802067946825,833,0.9286510590858417,152,150,95,407,24,25,15
0.39999999999999997,1528,755,773,698,57,0.9245033112582781,0.49410994764397903,0.4568062827225131,1,0.2095845520263726,1.1152141802067947,717,0.9275549805950841,129,123,76,363,21,21,14
0.42499999999999993,1379,702,677,651,51,0.9273504273504274,0.5090645395213923,0.4720812182741117,1,0.21243166811852188,1.036927621861152,627,0.9261447562776958,107,108,69,328,18,19,13
0.44999999999999996,1228,631,597,585,46,0.9270998415213946,0.5138436482084691,0.4763843648208469,1,0.21218108228948906,0.9320531757754801,556,0.931323283082077,99,99,55,288,15,16,10
0.475,1074,559,515,521,38,0.9320214669051878,0.5204841713221602,0.4851024208566108,1,0.21710270767328232,0.8257016248153619,479,0.9300970873786408,90,89,40,250,12,14,10
0.49999999999999994,969,525,444,491,34,0.9352380952380952,0.541795665634675,0.5067079463364293,1,0.2203193360061897,0.7754800590841949,414,0.9324324324324325,79,70,26,229,9,11,10
0.525,851,456,395,425,31,0.9320175438596491,0.535840188014101,0.4994124559341951,1,0.21709878462774357,0.6735598227474151,368,0.9316455696202531,71,60,19,209,9,10,8
0.5499999999999999,754,415,339,392,23,0.944578313253012,0.5503978779840849,0.519893899204244,1,0.2296595540211065,0.6129985228951256,315,0.9292035398230089,63,47,14,187,8,8,8
0.575,650,362,288,344,18,0.9502762430939227,0.556923076923077,0.5292307692307693,1,0.23535748386201716,0.534711964549483,266,0.9236111111111112,52,39,9,162,8,8,6
0.6,607,344,263,327,17,0.9505813953488372,0.5667215815485996,0.5387149917627677,1,0.23566263611693172,0.5081240768094535,245,0.9315589353612167,47,34,9,153,7,7,4
0.625,508,294,214,279,15,0.9489795918367347,0.5787401574803149,0.5492125984251969,1,0.23406083260482924,0.4342688330871492,200,0.9345794392523364,35,26,9,128,5,6,3
0.65,421,259,162,245,14,0.9459459459459459,0.6152019002375297,0.5819477434679335,1,0.23102718671404043,0.3825701624815362,150,0.9259259259259259,29,18,3,99,4,5,3
0.675,376,233,143,225,8,0.9656652360515021,0.6196808510638298,0.598404255319149,1,0.2507464768195966,0.34416543574593794,132,0.9230769230769231,23,17,3,89,3,5,3
0.7,319,208,111,200,8,0.9615384615384616,0.6520376175548589,0.6269592476489029,1,0.24661970230655605,0.3072378138847858,100,0.9009009009009009,18,11,2,69,3,5,3
0.725,303,194,109,186,8,0.9587628865979382,0.6402640264026402,0.6138613861386139,1,0.24384412736603267,0.2865583456425406,99,0.908256880733945,18,11,1,69,3,4,3
0.75,283,182,101,176,6,0.967032967032967,0.6431095406360424,0.6219081272084805,1,0.25211420780106153,0.2688330871491876,91,0.900990099009901,17,9,1,64,3,4,3
0.775,232,147,85,144,3,0.9795918367346939,0.6336206896551724,0.6206896551724138,1,0.26467307750278835,0.2171344165435746,75,0.8823529411764706,15,8,1,51,3,4,3
0.7999999999999999,206,136,70,133,3,0.9779411764705882,0.6601941747572816,0.6456310679611651,1,0.2630224172386827,0.20088626292466766,61,0.8714285714285714,10,6,1,44,3,3,3
0.825,161,107,54,106,1,0.9906542056074766,0.6645962732919255,0.6583850931677019,1,0.2757354463755711,0.15805022156573117,47,0.8703703703703703,8,5,1,33,2,2,3
0.85,156,103,53,102,1,0.9902912621359223,0.6602564102564102,0.6538461538461539,1,0.2753725029040168,0.15214180206794684,46,0.8679245283018868,7,5,1,33,2,2,3
0.875,147,95,52,94,1,0.9894736842105263,0.6462585034013606,0.6394557823129252,1,0.2745549249786208,0.14032496307237813,45,0.8653846153846154,7,5,1,32,2,2,3
0.9,125,82,43,81,1,0.9878048780487805,0.656,0.648,1,0.27288611881687497,0.12112259970457903,36,0.8372093023255814,7,5,1,23,2,2,3
0.9249999999999999,103,65,38,64,1,0.9846153846153847,0.6310679611650486,0.6213592233009708,1,0.26969662538347916,0.09601181683899557,31,0.8157894736842105,6,4,1,20,2,2,3
