model,race,year,actionable,scored,tp,fp,precision,coverage,race_index
Batch ML,2025 :: Chinese Grand Prix,2025,6,5,5,0,1.0,0.8333333333333334,30
Batch ML,2025 :: Dutch Grand Prix,2025,5,4,4,0,1.0,0.8,31
Batch ML,2025 :: French Grand Prix,2025,9,6,6,0,1.0,0.6666666666666666,32
Batch ML,2025 :: Italian Grand Prix,2025,4,2,2,0,1.0,0.5,33
Batch ML,2025 :: Mexico City Grand Prix,2025,8,5,4,1,0.8,0.625,34
Batch ML,2025 :: Miami Grand Prix,2025,1,1,1,0,1.0,1.0,35
Batch ML,2025 :: Singapore Grand Prix,2025,3,3,3,0,1.0,1.0,36
Batch ML,2025 :: United States Grand Prix,2025,26,13,13,0,1.0,0.5,37
MOA,2022 :: Abu Dhabi Grand Prix,2022,53,7,4,3,0.5714285714285714,0.1320754716981132,1
MOA,2022 :: Australian Grand Prix,2022,18,5,5,0,1.0,0.2777777777777778,2
MOA,2022 :: Austrian Grand Prix,2022,47,9,8,1,0.8888888888888888,0.19148936170212766,3
MOA,2022 :: Azerbaijan Grand Prix,2022,11,1,1,0,1.0,0.09090909090909091,4
MOA,2022 :: Bahrain Grand Prix,2022,117,17,15,2,0.8823529411764706,0.1452991452991453,5
MOA,2022 :: Belgian Grand Prix,2022,20,8,3,5,0.375,0.4,6
MOA,2022 :: British Grand Prix,2022,17,2,1,1,0.5,0.11764705882352941,7
MOA,2022 :: Canadian Grand Prix,2022,1,0,0,0,,0.0,8
MOA,2022 :: Dutch Grand Prix,2022,50,7,5,2,0.7142857142857143,0.14,9
MOA,2022 :: Emilia Romagna Grand Prix,2022,7,5,5,0,1.0,0.7142857142857143,10
MOA,2022 :: French Grand Prix,2022,9,2,1,1,0.5,0.2222222222222222,11
MOA,2022 :: Hungarian Grand Prix,2022,20,6,6,0,1.0,0.3,12
MOA,2022 :: Italian Grand Prix,2022,7,1,1,0,1.0,0.14285714285714285,13
MOA,2022 :: Japanese Grand Prix,2022,3,1,1,0,1.0,0.3333333333333333,14
MOA,2022 :: Mexico City Grand Prix,2022,9,1,1,0,1.0,0.1111111111111111,15
MOA,2022 :: Miami Grand Prix,2022,21,3,3,0,1.0,0.14285714285714285,16
MOA,2022 :: Monaco Grand Prix,2022,22,7,4,3,0.5714285714285714,0.3181818181818182,17
MOA,2022 :: Saudi Arabian Grand Prix,2022,31,5,4,1,0.8,0.16129032258064516,18
MOA,2022 :: Singapore Grand Prix,2022,9,0,0,0,,0.0,19
MOA,2022 :: Spanish Grand Prix,2022,83,12,10,2,0.8333333333333334,0.14457831325301204,20
MOA,2022 :: São Paulo Grand Prix,2022,20,5,2,3,0.4,0.25,21
MOA,2022 :: United States Grand Prix,2022,17,5,3,2,0.6,0.29411764705882354,22
MOA,2023 :: Abu Dhabi Grand Prix,2023,56,14,13,1,0.9285714285714286,0.25,23
MOA,2023 :: Australian Grand Prix,2023,20,0,0,0,,0.0,24
MOA,2023 :: Austrian Grand Prix,2023,86,15,12,3,0.8,0.1744186046511628,25
MOA,2023 :: Azerbaijan Grand Prix,2023,42,3,2,1,0.6666666666666666,0.07142857142857142,26
MOA,2023 :: Bahrain Grand Prix,2023,136,25,19,6,0.76,0.18382352941176472,27
MOA,2023 :: Belgian Grand Prix,2023,59,13,11,2,0.8461538461538461,0.22033898305084745,28
MOA,2023 :: British Grand Prix,2023,65,9,9,0,1.0,0.13846153846153847,29
MOA,2023 :: Canadian Grand Prix,2023,127,13,12,1,0.9230769230769231,0.10236220472440945,30
MOA,2023 :: Dutch Grand Prix,2023,123,21,19,2,0.9047619047619048,0.17073170731707318,31
MOA,2023 :: Emilia Romagna Grand Prix,2023,14,2,2,0,1.0,0.14285714285714285,32
