model,race,year,actionable,scored,tp,fp,precision,coverage,race_index
Batch ML,2025 :: United States Grand Prix,2025,4,3,3,0,1.0,0.75,30
MOA,2022 :: Abu Dhabi Grand Prix,2022,17,7,5,2,0.7142857142857143,0.4117647058823529,1
MOA,2022 :: Australian Grand Prix,2022,65,6,6,0,1.0,0.09230769230769231,2
MOA,2022 :: Austrian Grand Prix,2022,37,9,8,1,0.8888888888888888,0.24324324324324326,3
MOA,2022 :: Azerbaijan Grand Prix,2022,5,2,2,0,1.0,0.4,4
MOA,2022 :: Bahrain Grand Prix,2022,61,14,13,1,0.9285714285714286,0.22950819672131148,5
MOA,2022 :: Belgian Grand Prix,2022,45,10,6,4,0.6,0.2222222222222222,6
MOA,2022 :: British Grand Prix,2022,11,5,4,1,0.8,0.45454545454545453,7
MOA,2022 :: Canadian Grand Prix,2022,3,1,1,0,1.0,0.3333333333333333,8
MOA,2022 :: Dutch Grand Prix,2022,40,5,4,1,0.8,0.125,9
MOA,2022 :: Emilia Romagna Grand Prix,2022,12,5,5,0,1.0,0.4166666666666667,10
MOA,2022 :: French Grand Prix,2022,16,1,1,0,1.0,0.0625,11
MOA,2022 :: Hungarian Grand Prix,2022,14,5,5,0,1.0,0.35714285714285715,12
MOA,2022 :: Italian Grand Prix,2022,32,8,6,2,0.75,0.25,13
MOA,2022 :: Mexico City Grand Prix,2022,14,1,1,0,1.0,0.07142857142857142,14
MOA,2022 :: Miami Grand Prix,2022,38,6,6,0,1.0,0.15789473684210525,15
MOA,2022 :: Monaco Grand Prix,2022,1,1,1,0,1.0,1.0,16
MOA,2022 :: Saudi Arabian Grand Prix,2022,50,4,3,1,0.75,0.08,17
MOA,2022 :: Singapore Grand Prix,2022,7,1,1,0,1.0,0.14285714285714285,18
MOA,2022 :: Spanish Grand Prix,2022,24,5,5,0,1.0,0.20833333333333334,19
MOA,2022 :: São Paulo Grand Prix,2022,31,8,3,5,0.375,0.25806451612903225,20
MOA,2022 :: United States Grand Prix,2022,13,9,8,1,0.8888888888888888,0.6923076923076923,21
MOA,2023 :: Abu Dhabi Grand Prix,2023,136,24,21,3,0.875,0.17647058823529413,22
MOA,2023 :: Australian Grand Prix,2023,65,1,0,1,0.0,0.015384615384615385,23
MOA,2023 :: Austrian Grand Prix,2023,51,13,12,1,0.9230769230769231,0.2549019607843137,24
MOA,2023 :: Azerbaijan Grand Prix,2023,29,10,8,2,0.8,0.3448275862068966,25
MOA,2023 :: Bahrain Grand Prix,2023,62,22,18,4,0.8181818181818182,0.3548387096774194,26
MOA,2023 :: Belgian Grand Prix,2023,53,14,12,2,0.8571428571428571,0.2641509433962264,27
MOA,2023 :: British Grand Prix,2023,71,11,10,1,0.9090909090909091,0.15492957746478872,28
MOA,2023 :: Canadian Grand Prix,2023,47,6,6,0,1.0,0.1276595744680851,29
MOA,2023 :: Dutch Grand Prix,2023,51,20,18,2,0.9,0.39215686274509803,30
MOA,2023 :: Emilia Romagna Grand Prix,2023,6,2,2,0,1.0,0.3333333333333333,31
MOA,2023 :: French Grand Prix,2023,18,6,4,2,0.6666666666666666,0.3333333333333333,32
MOA,2023 :: Hungarian Grand Prix,2023,109,26,22,4,0.8461538461538461,0.23853211009174313,33
MOA,2023 :: Italian Grand Prix,2023,68,18,15,3,0.8333333333333334,0.2647058823529412,34
MOA,2023 :: Japanese Grand Prix,2023,15,2,2,0,1.0,0.13333333333333333,35
MOA,2023 :: Las Vegas Grand Prix,2023,7,0,0,0,,0.0,36
