fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
28,1554,105,0.06756756756756757,0.99,0.99,0.99,0.0006435006435006435,1.0,0.009523809523809525,0.01886792452830189,0,0.0844748858447488
29,1487,69,0.04640215198386012,0.75,0.75,0.75,0.0,,0.0,,0,0.0859375
30,1583,111,0.07012002526847758,0.75,0.75,0.75,0.0,,0.0,,0,0.0833333333333333
31,1146,60,0.05235602094240838,0.99,0.99,0.99,0.002617801047120419,1.0,0.05,0.09523809523809523,0,0.0765027322404371
32,1553,101,0.06503541532517708,0.77,0.77,0.77,0.0,,0.0,,0,0.0464919695688926
33,938,83,0.08848614072494669,0.99,0.99,0.99,0.0021321961620469083,0.0,0.0,,0,0.0833333333333333
34,1596,110,0.06892230576441102,0.99,0.99,0.99,0.0,,0.0,,0,0.0653465346534653
35,1168,72,0.06164383561643835,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0681818181818181
36,1231,44,0.03574329813160033,0.35000000000000003,0.35,0.35,0.0,,0.0,,0,0.0246212121212121
37,934,38,0.04068522483940043,0.75,0.75,0.75,0.0,,0.0,,0,0.0260223048327137
38,944,26,0.02754237288135593,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0256410256410256
39,1197,94,0.0785296574770259,0.9900000000000002,0.99,0.99,0.000835421888053467,1.0,0.010638297872340425,0.021052631578947368,0,0.109090909090909
40,1579,66,0.04179860671310956,0.99,0.99,0.99,0.0,,0.0,,0,0.0481832543443917
41,1456,78,0.05357142857142857,0.99,0.99,0.99,0.0,,0.0,,0,0.043010752688172
42,1297,95,0.07324595219737856,0.99,0.99,0.99,0.0,,0.0,,0,0.081675392670157
43,877,18,0.020524515393386546,0.99,0.99,0.99,0.0,,0.0,,0,0.0735632183908045
44,1057,22,0.020813623462630087,0.75,0.75,0.75,0.002838221381267739,1.0,0.13636363636363635,0.24000000000000002,0,0.0474226804123711
45,790,18,0.02278481012658228,0.99,0.99,0.99,0.0,,0.0,,0,0.037117903930131
46,1274,195,0.15306122448979592,0.99,0.99,0.99,0.0,,0.0,,0,0.0995670995670995
47,1071,95,0.08870214752567694,0.7599999999999999,0.76,0.76,0.007469654528478058,0.5,0.042105263157894736,0.07766990291262135,0,0.3333333333333333
48,1274,85,0.06671899529042387,0.75,0.75,0.75,0.0,,0.0,,0,0.070607553366174
49,1079,98,0.09082483781278962,0.99,0.99,0.99,0.0,,0.0,,0,0.0590673575129533
50,835,21,0.025149700598802394,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.11310456984875687
51,1322,102,0.07715582450832073,0.83,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.0942760942760942
52,1409,71,0.050390347764371894,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.1944444444444444
53,1752,64,0.0365296803652968,0.99,0.99,0.99,0.0,,0.0,,0,0.0255813953488372
54,1529,100,0.06540222367560497,0.5199999999999999,0.52,0.52,0.0,,0.0,,0,0.0720871751886001
55,1557,161,0.10340398201669879,0.75,0.75,0.75,0.0,,0.0,,0,0.3129770992366412
56,1649,184,0.11158277744087326,0.99,0.99,0.99,0.007883565797453002,0.9230769230769231,0.06521739130434782,0.1218274111675127,0,0.15625
57,1205,93,0.07717842323651453,0.8,0.8,0.8,0.004979253112033195,1.0,0.06451612903225806,0.12121212121212122,0,0.1476190476190476
