threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.32499999999999996,2025,1836,745,687,58,0.9221476510067114,0.4057734204793028,0.3741830065359477
0.35,2022,60,8,4,4,0.5,0.13333333333333333,0.06666666666666667
0.35,2023,194,89,85,4,0.9550561797752809,0.4587628865979381,0.4381443298969072
0.35,2024,911,419,394,25,0.9403341288782816,0.45993413830954993,0.43249176728869376
0.35,2025,1648,703,652,51,0.9274537695590327,0.4265776699029126,0.39563106796116504
0.37499999999999994,2022,57,8,4,4,0.5,0.14035087719298245,0.07017543859649122
0.37499999999999994,2023,158,77,74,3,0.961038961038961,0.4873417721518987,0.46835443037974683
0.37499999999999994,2024,808,377,355,22,0.9416445623342176,0.4665841584158416,0.43935643564356436
0.37499999999999994,2025,1581,683,635,48,0.9297218155197657,0.43200506008855155,0.40164452877925366
0.39999999999999997,2022,56,8,4,4,0.5,0.14285714285714285,0.07142857142857142
0.39999999999999997,2023,146,71,68,3,0.9577464788732394,0.4863013698630137,0.4657534246575342
0.39999999999999997,2024,718,344,323,21,0.938953488372093,0.479108635097493,0.44986072423398327
0.39999999999999997,2025,1432,640,596,44,0.93125,0.44692737430167595,0.41620111731843573
0.42499999999999993,2022,55,8,4,4,0.5,0.14545454545454545,0.07272727272727272
0.42499999999999993,2023,133,66,63,3,0.9545454545454546,0.49624060150375937,0.47368421052631576
0.42499999999999993,2024,619,307,292,15,0.9511400651465798,0.49596122778675283,0.4717285945072698
0.42499999999999993,2025,1288,593,555,38,0.9359190556492412,0.46040372670807456,0.4309006211180124
0.44999999999999996,2022,55,8,4,4,0.5,0.14545454545454545,0.07272727272727272
0.44999999999999996,2023,121,62,59,3,0.9516129032258065,0.512396694214876,0.48760330578512395
0.44999999999999996,2024,569,295,281,14,0.9525423728813559,0.5184534270650264,0.4938488576449912
0.44999999999999996,2025,1180,564,528,36,0.9361702127659575,0.47796610169491527,0.44745762711864406
0.475,2022,55,8,4,4,0.5,0.14545454545454545,0.07272727272727272
0.475,2023,113,60,57,3,0.95,0.5309734513274337,0.504424778761062
0.475,2024,523,276,265,11,0.9601449275362319,0.5277246653919694,0.5066921606118547
0.475,2025,1101,531,499,32,0.9397363465160076,0.4822888283378747,0.45322434150772023
0.49999999999999994,2022,55,8,4,4,0.5,0.14545454545454545,0.07272727272727272
0.49999999999999994,2023,112,59,56,3,0.9491525423728814,0.5267857142857143,0.5
0.49999999999999994,2024,496,267,256,11,0.9588014981273408,0.5383064516129032,0.5161290322580645
0.49999999999999994,2025,889,457,428,29,0.936542669584245,0.5140607424071991,0.4814398200224972
0.525,2022,52,8,4,4,0.5,0.15384615384615385,0.07692307692307693
0.525,2023,102,55,53,2,0.9636363636363636,0.5392156862745098,0.5196078431372549
0.525,2024,427,240,230,10,0.9583333333333334,0.5620608899297423,0.5386416861826698
0.525,2025,685,369,352,17,0.9539295392953929,0.5386861313868613,0.5138686131386861
0.5499999999999999,2022,52,8,4,4,0.5,0.15384615384615385,0.07692307692307693
0.5499999999999999,2023,87,50,48,2,0.96,0.5747126436781609,0.5517241379310345
0.5499999999999999,2024,378,220,211,9,0.9590909090909091,0.582010582010582,0.5582010582010583
0.5499999999999999,2025,611,342,325,17,0.9502923976608187,0.5597381342062193,0.5319148936170213
0.575,2022,52,8,4,4,0.5,0.15384615384615385,0.07692307692307693
0.575,2023,85,49,47,2,0.9591836734693877,0.5764705882352941,0.5529411764705883
0.575,2024,348,205,196,9,0.9560975609756097,0.5890804597701149,0.5632183908045977
0.575,2025,569,329,313,16,0.9513677811550152,0.5782073813708261,0.5500878734622144
0.6,2022,51,8,4,4,0.5,0.1568627450980392,0.0784313725490196
0.6,2023,82,47,45,2,0.9574468085106383,0.573170731707317,0.5487804878048781
0.6,2024,298,173,165,8,0.953757225433526,0.5805369127516778,0.5536912751677853
0.6,2025,519,306,292,14,0.954248366013072,0.5895953757225434,0.5626204238921002
0.625,2022,51,8,4,4,0.5,0.1568627450980392,0.0784313725490196
0.625,2023,76,42,40,2,0.9523809523809523,0.5526315789473685,0.5263157894736842
0.625,2024,279,159,151,8,0.949685534591195,0.5698924731182796,0.5412186379928315
0.625,2025,481,291,277,14,0.9518900343642611,0.604989604989605,0.5758835758835759
0.65,2022,49,8,4,4,0.5,0.16326530612244897,0.08163265306122448
0.65,2023,65,37,35,2,0.9459459459459459,0.5692307692307692,0.5384615384615384
0.65,2024,260,148,141,7,0.9527027027027027,0.5692307692307692,0.5423076923076923
0.65,2025,384,241,231,10,0.9585062240663901,0.6276041666666666,0.6015625
0.675,2022,49,8,4,4,0.5,0.16326530612244897,0.08163265306122448
