fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
77,1924,148,0.07692307692307693,0.7599999999999999,0.76,0.76,0.0,,0.0,,0,0.15359477124183
78,1906,227,0.11909758656873033,0.99,0.99,0.99,0.0005246589716684155,1.0,0.004405286343612335,0.008771929824561405,0,0.3316062176165803
79,1984,207,0.10433467741935484,0.7599999999999999,0.76,0.76,0.004032258064516129,1.0,0.03864734299516908,0.07441860465116279,0,0.1764705882352941
80,1280,117,0.09140625,0.8499999999999999,0.85,0.85,0.003125,0.75,0.02564102564102564,0.049586776859504134,0,0.231591784338896
81,1954,193,0.09877175025588536,0.75,0.75,0.75,0.0,,0.0,,0,0.2717391304347826
82,1237,159,0.12853678253839934,0.7999999999999999,0.8,0.8,0.00889248181083266,1.0,0.06918238993710692,0.12941176470588237,0,0.1727574750830564
83,1985,215,0.10831234256926953,0.8000000000000002,0.8,0.8,0.007052896725440806,0.9285714285714286,0.06046511627906977,0.11353711790393013,0,0.2611111111111111
84,1488,153,0.1028225806451613,0.75,0.75,0.75,0.0,,0.0,,0,0.1554524361948956
85,1669,117,0.0701018573996405,0.9900000000000001,0.99,0.99,0.0005991611743559018,1.0,0.008547008547008548,0.016949152542372885,0,0.1455026455026455
86,1572,160,0.10178117048346055,0.7799999999999999,0.78,0.78,0.009541984732824428,0.6,0.05625,0.10285714285714287,0,0.2552427599568776
87,1999,131,0.0655327663831916,0.75,0.75,0.75,0.0025012506253126563,1.0,0.03816793893129771,0.07352941176470588,0,0.1975308641975308
88,1695,169,0.09970501474926254,0.8,0.8,0.8,0.0,,0.0,,0,0.2365853658536584
89,1430,106,0.07412587412587412,0.76,0.76,0.76,0.0,,0.0,,0,0.1792828685258964
90,1312,71,0.054115853658536585,0.8499999999999999,0.85,0.85,0.0,,0.0,,0,0.0485232067510548
91,1725,118,0.06840579710144927,0.76,0.76,0.76,0.0005797101449275362,1.0,0.00847457627118644,0.01680672268907563,0,0.2001953125
92,877,18,0.020524515393386546,0.75,0.75,0.75,0.002280501710376283,1.0,0.1111111111111111,0.19999999999999998,0,0.0171652060548996
93,1205,113,0.0937759336099585,0.7800000000000001,0.78,0.78,0.0016597510373443983,1.0,0.017699115044247787,0.034782608695652174,0,0.165079365079365
94,1346,125,0.09286775631500743,0.8100000000000002,0.81,0.81,0.0,,0.0,,0,0.0714285714285714
95,1851,121,0.06537007023230686,0.75,0.75,0.75,0.0,,0.0,,0,0.1122807017543859
