model,race,year,actionable,scored,tp,fp,precision,coverage,race_index
SDE,2024 :: Singapore Grand Prix,2024,52,3,1,2,0.3333333333333333,0.057692307692307696,68
SDE,2024 :: Spanish Grand Prix,2024,92,16,10,6,0.625,0.17391304347826086,69
SDE,2024 :: São Paulo Grand Prix,2024,112,18,12,6,0.6666666666666666,0.16071428571428573,70
SDE,2024 :: United States Grand Prix,2024,70,11,8,3,0.7272727272727273,0.15714285714285714,71
SDE,2025 :: Abu Dhabi Grand Prix,2025,60,20,15,5,0.75,0.3333333333333333,72
SDE,2025 :: Australian Grand Prix,2025,103,10,9,1,0.9,0.0970873786407767,73
SDE,2025 :: Austrian Grand Prix,2025,60,17,13,4,0.7647058823529411,0.2833333333333333,74
SDE,2025 :: Azerbaijan Grand Prix,2025,117,15,12,3,0.8,0.1282051282051282,75
SDE,2025 :: Bahrain Grand Prix,2025,62,31,26,5,0.8387096774193549,0.5,76
SDE,2025 :: Belgian Grand Prix,2025,64,24,16,8,0.6666666666666666,0.375,77
SDE,2025 :: British Grand Prix,2025,2,0,0,0,,0.0,78
SDE,2025 :: Canadian Grand Prix,2025,65,10,9,1,0.9,0.15384615384615385,79
SDE,2025 :: Chinese Grand Prix,2025,73,7,5,2,0.7142857142857143,0.0958904109589041,80
SDE,2025 :: Dutch Grand Prix,2025,36,17,15,2,0.8823529411764706,0.4722222222222222,81
SDE,2025 :: Emilia Romagna Grand Prix,2025,147,20,15,5,0.75,0.1360544217687075,82
SDE,2025 :: French Grand Prix,2025,38,3,2,1,0.6666666666666666,0.07894736842105263,83
SDE,2025 :: Hungarian Grand Prix,2025,128,27,21,6,0.7777777777777778,0.2109375,84
SDE,2025 :: Italian Grand Prix,2025,48,14,12,2,0.8571428571428571,0.2916666666666667,85
SDE,2025 :: Japanese Grand Prix,2025,46,5,5,0,1.0,0.10869565217391304,86
SDE,2025 :: Las Vegas Grand Prix,2025,96,23,18,5,0.782608695652174,0.23958333333333334,87
SDE,2025 :: Mexico City Grand Prix,2025,61,10,7,3,0.7,0.16393442622950818,88
SDE,2025 :: Miami Grand Prix,2025,38,8,6,2,0.75,0.21052631578947367,89
SDE,2025 :: Monaco Grand Prix,2025,77,10,6,4,0.6,0.12987012987012986,90
SDE,2025 :: Qatar Grand Prix,2025,40,9,6,3,0.6666666666666666,0.225,91
SDE,2025 :: Saudi Arabian Grand Prix,2025,18,4,4,0,1.0,0.2222222222222222,92
SDE,2025 :: Singapore Grand Prix,2025,52,5,2,3,0.4,0.09615384615384616,93
SDE,2025 :: Spanish Grand Prix,2025,92,18,12,6,0.6666666666666666,0.1956521739130435,94
SDE,2025 :: São Paulo Grand Prix,2025,113,21,14,7,0.6666666666666666,0.18584070796460178,95
SDE,2025 :: United States Grand Prix,2025,70,12,9,3,0.75,0.17142857142857143,96
Batch ML,2023 :: Abu Dhabi Grand Prix,2023,1,1,1,0,1.0,1.0,1
Batch ML,2023 :: Australian Grand Prix,2023,8,3,3,0,1.0,0.375,2
Batch ML,2023 :: Austrian Grand Prix,2023,10,5,5,0,1.0,0.5,3
Batch ML,2023 :: Azerbaijan Grand Prix,2023,2,1,1,0,1.0,0.5,4
Batch ML,2023 :: Bahrain Grand Prix,2023,2,2,2,0,1.0,1.0,5
Batch ML,2023 :: Belgian Grand Prix,2023,3,2,1,1,0.5,0.6666666666666666,6
Batch ML,2023 :: British Grand Prix,2023,7,4,4,0,1.0,0.5714285714285714,7
Batch ML,2023 :: Canadian Grand Prix,2023,3,1,1,0,1.0,0.3333333333333333,8
Batch ML,2023 :: Dutch Grand Prix,2023,6,5,4,1,0.8,0.8333333333333334,9
Batch ML,2023 :: Emilia Romagna Grand Prix,2023,15,9,8,1,0.8888888888888888,0.6,10
Batch ML,2023 :: Hungarian Grand Prix,2023,1,1,1,0,1.0,1.0,11
Batch ML,2023 :: Japanese Grand Prix,2023,3,1,1,0,1.0,0.3333333333333333,12
Batch ML,2023 :: Miami Grand Prix,2023,2,2,2,0,1.0,1.0,13
Batch ML,2023 :: Monaco Grand Prix,2023,3,2,2,0,1.0,0.6666666666666666,14
Batch ML,2023 :: Saudi Arabian Grand Prix,2023,4,2,2,0,1.0,0.5,15
Batch ML,2023 :: Singapore Grand Prix,2023,1,1,1,0,1.0,1.0,16
Batch ML,2023 :: United States Grand Prix,2023,7,5,5,0,1.0,0.7142857142857143,17
Batch ML,2024 :: Austrian Grand Prix,2024,42,31,30,1,0.967741935483871,0.7380952380952381,18
Batch ML,2024 :: Azerbaijan Grand Prix,2024,2,1,1,0,1.0,0.5,19
Batch ML,2024 :: Bahrain Grand Prix,2024,1,1,1,0,1.0,1.0,20
Batch ML,2024 :: Belgian Grand Prix,2024,4,3,2,1,0.6666666666666666,0.75,21
Batch ML,2024 :: British Grand Prix,2024,2,1,1,0,1.0,0.5,22
Batch ML,2024 :: Dutch Grand Prix,2024,6,6,6,0,1.0,1.0,23
Batch ML,2024 :: Emilia Romagna Grand Prix,2024,2,1,1,0,1.0,0.5,24
Batch ML,2024 :: Hungarian Grand Prix,2024,1,1,1,0,1.0,1.0,25
Batch ML,2024 :: Italian Grand Prix,2024,1,1,1,0,1.0,1.0,26
