fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
15,1231,44,0.03574329813160033,0.7999999999999999,0.8,0.8,0.0008123476848090983,1.0,0.022727272727272728,0.044444444444444446,0,0.027997128499641
16,934,38,0.04068522483940043,0.7599999999999999,0.76,0.76,0.0032119914346895075,0.3333333333333333,0.02631578947368421,0.048780487804878044,0,0.0421545667447306
17,944,26,0.02754237288135593,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0304449648711943
18,1197,94,0.0785296574770259,0.75,0.75,0.75,0.005847953216374269,0.8571428571428571,0.06382978723404255,0.1188118811881188,0,0.0921052631578947
19,1579,66,0.04179860671310956,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.0394409937888198
20,1456,78,0.05357142857142857,0.99,0.99,0.99,0.0,,0.0,,0,0.0506666666666666
21,1297,95,0.07324595219737856,0.75,0.75,0.75,0.0007710100231303007,1.0,0.010526315789473684,0.020833333333333332,0,0.1267605633802817
22,877,18,0.020524515393386546,0.78,0.78,0.78,0.0,,0.0,,0,0.0479797979797979
23,1057,22,0.020813623462630087,0.75,0.75,0.75,0.014191106906338695,0.9333333333333333,0.6363636363636364,0.7567567567567568,0,0.0404267265581134
24,790,18,0.02278481012658228,0.8499999999999998,0.85,0.85,0.0,,0.0,,0,0.0410396716826265
25,1274,195,0.15306122448979592,0.8100000000000004,0.81,0.81,0.0007849293563579278,1.0,0.005128205128205128,0.010204081632653062,0,0.0845323741007194
26,1071,95,0.08870214752567694,0.75,0.75,0.75,0.004668534080298786,1.0,0.05263157894736842,0.1,0,0.1392405063291139
27,1274,85,0.06671899529042387,0.99,0.99,0.99,0.0,,0.0,,0,0.0440658049353701
28,1079,98,0.09082483781278962,0.7999999999999999,0.8,0.8,0.0,,0.0,,0,0.055
29,835,21,0.025149700598802394,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0442073170731707
30,1322,102,0.07715582450832073,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0722222222222222
31,1409,71,0.050390347764371894,0.7599999999999999,0.76,0.76,0.0014194464158978,1.0,0.028169014084507043,0.05479452054794521,0,0.1382765531062124
32,1752,64,0.0365296803652968,0.99,0.99,0.99,0.0,,0.0,,0,0.0789473684210526
33,1529,100,0.06540222367560497,0.99,0.99,0.99,0.0,,0.0,,0,0.0798122065727699
34,1557,161,0.10340398201669879,0.84,0.8400000000000001,0.8400000000000001,0.023121387283236993,0.6944444444444444,0.15527950310559005,0.25380710659898476,0,0.2965600395685713
35,1649,184,0.11158277744087326,0.9099999999999999,0.91,0.91,0.025469981807155852,0.8809523809523809,0.20108695652173914,0.327433628318584,0,0.1868131868131868
36,1205,93,0.07717842323651453,0.9,0.9,0.9,0.0016597510373443983,1.0,0.021505376344086023,0.04210526315789474,0,0.08327168655542488
37,1562,157,0.10051216389244558,0.9900000000000001,0.99,0.99,0.0006402048655569782,1.0,0.006369426751592357,0.012658227848101266,0,0.122754491017964
38,981,133,0.13557594291539246,0.8200000000000002,0.8200000000000001,0.8200000000000001,0.004077471967380225,0.75,0.022556390977443608,0.043795620437956206,0,0.2681159420289855
39,1684,153,0.09085510688836104,0.75,0.75,0.75,0.0035629453681710215,1.0,0.0392156862745098,0.07547169811320754,0,0.1314199395770392
40,1269,124,0.09771473601260836,0.75,0.75,0.75,0.0007880220646178094,1.0,0.008064516129032258,0.016,0,0.1145510835913312
41,1237,95,0.07679870654810024,0.75,0.75,0.75,0.0016168148746968471,1.0,0.021052631578947368,0.041237113402061855,0,0.074792243767313
42,1416,81,0.057203389830508475,0.75,0.75,0.75,0.0007062146892655367,1.0,0.012345679012345678,0.024390243902439022,0,0.0454545454545454
43,1355,126,0.0929889298892989,0.78,0.78,0.78,0.014760147601476014,0.65,0.10317460317460317,0.1780821917808219,0,0.366412213740458
44,1717,102,0.0594059405940594,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.1063829787234042
45,1647,80,0.048573163327261686,0.7699999999999999,0.77,0.77,0.0006071645415907711,1.0,0.0125,0.02469135802469136,0,0.0613154960981047
46,1435,130,0.09059233449477352,0.8,0.8,0.8,0.0,,0.0,,0,0.0890804597701149
47,877,18,0.020524515393386546,0.8,0.8,0.8,0.0,,0.0,,0,0.0181994998610725
48,1057,88,0.08325449385052035,0.75,0.75,0.75,0.001892147587511826,1.0,0.022727272727272728,0.044444444444444446,0,0.0203303684879288
49,1046,57,0.05449330783938815,0.78,0.78,0.78,0.0,,0.0,,0,0.0227920227920227
50,1591,242,0.15210559396605908,0.75,0.75,0.75,0.05531112507856694,0.7840909090909091,0.28512396694214875,0.4181818181818182,0,0.5222222222222224
51,1321,118,0.08932626797880394,0.8100000000000002,0.81,0.81,0.0,,0.0,,0,0.1745513866231647
52,1425,112,0.07859649122807018,0.7800000000000001,0.78,0.78,0.0,,0.0,,0,0.0769230769230769
53,1400,132,0.09428571428571429,0.8100000000000003,0.81,0.81,0.0007142857142857143,1.0,0.007575757575757576,0.015037593984962407,0,0.2385964912280701
54,1504,124,0.08244680851063829,0.76,0.76,0.76,0.0,,0.0,,0,0.1822916666666666
55,2189,116,0.05299223389675651,0.8800000000000001,0.88,0.88,0.0,,0.0,,0,0.0706713780918728
56,1924,148,0.07692307692307693,0.86,0.86,0.86,0.0010395010395010396,1.0,0.013513513513513514,0.026666666666666665,0,0.0836653386454183
57,1906,227,0.11909758656873033,0.76,0.76,0.76,0.005771248688352571,0.9090909090909091,0.04405286343612335,0.08403361344537816,0,0.3214285714285714
58,1984,207,0.10433467741935484,0.75,0.75,0.75,0.010584677419354838,1.0,0.10144927536231885,0.1842105263157895,0,0.1886304909560723
59,1280,117,0.09140625,0.7599999999999999,0.76,0.76,0.00234375,1.0,0.02564102564102564,0.05,0,0.1989285714285716
60,1954,193,0.09877175025588536,0.76,0.76,0.76,0.0,,0.0,,0,0.3425925925925926
61,1237,159,0.12853678253839934,0.75,0.75,0.75,0.025060630557801132,0.9354838709677419,0.18238993710691823,0.3052631578947368,0,0.3864864864864865
62,1985,215,0.10831234256926953,0.75,0.75,0.75,0.023173803526448364,0.9347826086956522,0.2,0.32950191570881227,0,0.1957142857142857
63,1488,153,0.1028225806451613,0.7999999999999999,0.8,0.8,0.0013440860215053765,1.0,0.013071895424836602,0.02580645161290323,0,0.1737756714060031
64,1669,117,0.0701018573996405,0.75,0.75,0.75,0.0011983223487118035,1.0,0.017094017094017096,0.033613445378151266,0,0.084841628959276
65,1572,160,0.10178117048346055,0.75,0.75,0.75,0.015903307888040712,0.64,0.1,0.17297297297297298,0,0.2541254125412541
66,1999,131,0.0655327663831916,0.75,0.75,0.75,0.0025012506253126563,1.0,0.03816793893129771,0.07352941176470588,0,0.1802325581395348
67,1695,169,0.09970501474926254,0.7599999999999999,0.76,0.76,0.0,,0.0,,0,0.1475409836065573
68,1430,106,0.07412587412587412,0.8600000000000001,0.86,0.86,0.0,,0.0,,0,0.0779569892473118
69,1312,71,0.054115853658536585,0.7800000000000001,0.78,0.78,0.0,,0.0,,0,0.0351515151515151
70,1725,118,0.06840579710144927,0.76,0.76,0.76,0.0011594202898550724,1.0,0.01694915254237288,0.03333333333333333,0,0.13400000000000198
71,877,18,0.020524515393386546,0.75,0.75,0.75,0.0068415051311288486,1.0,0.3333333333333333,0.5,0,0.0131596437591386
72,1205,113,0.0937759336099585,0.75,0.75,0.75,0.004979253112033195,0.8333333333333334,0.04424778761061947,0.08403361344537814,0,0.0956521739130434
73,1346,125,0.09286775631500743,0.8499999999999998,0.85,0.85,0.0,,0.0,,0,0.0411012020162853
74,1851,121,0.06537007023230686,0.7699999999999999,0.77,0.77,0.0,,0.0,,0,0.0851581508515815
