learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
12000.0,1.4328175,-3.70670911959476E-13,12000.0,92.77499999999999,17.09111251630146,-157.2700296735905,-161.93353474320293,12000.0,-1.0,42.0,299.0,150390.57142857145,333698.0244911918,-88.76190476190476,126.44015445932526,25.214285714285722,36.12818352199987,13.095238095238098,18.07276555538683,13.095238095238098,18.07276555538683,4.238095238095237,3.7273512717348765,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.524589968,-3.944125150640806E-13,13000.0,92.86923076923077,16.6815025814492,-153.9726027397257,-158.21727019498618,13000.0,-1.0,42.0,326.0,173784.8095238095,439009.94179371255,-95.76190476190476,145.14615166315934,27.214285714285726,41.47260965886251,14.0952380952381,20.744449182688545,14.0952380952381,20.744449182688545,4.428571428571429,4.013044930813103,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.618630236,-4.187407996505499E-13,14000.0,92.77142857142857,16.587235751153564,-152.36907730673272,-156.2025316455693,14000.0,-1.0,42.0,351.0,197902.83333333337,567262.8082727689,-102.66666666666666,165.0199790811251,29.190476190476193,47.14856545175002,15.095238095238097,23.57428272587501,15.095238095238097,23.57428272587501,4.523809523809523,3.9953515382320774,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.699540285,-4.396722871913678E-13,15000.0,92.82000000000001,16.92173827184887,-143.11512415349904,-149.30555555555506,15000.0,-1.0,42.0,371.0,219002.7380952381,687873.5454169898,-109.09523809523807,188.95267306841157,31.023809523809526,53.9884757780851,16.0,27.0013549795507,16.0,27.0013549795507,4.595238095238095,4.024677074211556,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.850604507,-4.787527094595134E-13,16000.0,92.8875,16.811155200102366,-139.07563025210038,-144.731182795699,16000.0,-1.0,42.0,397.0,253738.5952380952,817198.5017077063,-123.42857142857142,217.30984318307088,35.11904761904761,62.0904935109772,18.047619047619044,31.052239525655036,18.047619047619044,31.052239525655036,4.904761904761905,4.124936208284414,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.941498288,-5.022669956088065E-13,17000.0,93.21176470588235,16.77983698214448,-135.03054989816712,-140.9185803757834,17000.0,-1.0,42.0,423.0,285316.49999999994,963228.1583086106,-130.92857142857142,239.0043772287336,37.26190476190476,68.28886261506338,19.119047619047617,34.1511720906971,19.119047619047617,34.1511720906971,4.928571428571431,4.175379971859766,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,2.031664112,-5.25592958761586E-13,18000.0,93.27222222222223,16.295886782641315,-133.33333333333294,-138.85601577909262,18000.0,-1.0,42.0,451.0,318159.5,1154076.1759897752,-140.0952380952381,273.590918541677,39.88095238095238,78.17060840612054,20.428571428571427,39.09160152903088,20.428571428571427,39.09160152903088,5.071428571428569,4.262101034288234,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,2.138923219,-5.533409664510851E-13,19000.0,93.52631578947368,16.22919091163052,-130.76923076923126,-136.08445297504855,19000.0,-1.0,42.0,476.0,346539.3333333334,1191263.3717472465,-147.7619047619048,296.59867025373427,42.07142857142858,84.74420416390032,21.523809523809522,42.378226171304625,21.523809523809522,42.378226171304625,5.095238095238094,4.39960931641094,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.249458612,-5.81936551671889E-13,20000.0,93.64,16.194254602249828,-129.1891891891887,-134.25414364640872,20000.0,-1.0,42.0,501.0,382932.6428571429,1198131.1211689445,-158.66666666666669,305.05558603163735,45.1904761904762,87.15873886618209,23.0952380952381,43.579369433091045,23.0952380952381,43.579369433091045,5.357142857142857,4.449288397866198,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.368903341,-6.128369884875913E-13,21000.0,93.74285714285713,15.737743023507026,-126.16179001721225,-130.9314586994732,21000.0,-1.0,42.0,526.0,418801.4761904762,1217944.0107469244,-170.92857142857144,315.6495735940483,48.69047619047618,90.18747089859424,24.833333333333336,45.10038487027749,24.833333333333336,45.10038487027749,5.595238095238094,4.601481859986156,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.538468511,-6.567036192346777E-13,22000.0,93.41363636363637,16.094383316748072,-115.94634873323413,-118.55203619909503,22000.0,-1.0,42.0,553.0,457741.3095238095,1237395.2291741907,-190.1666666666667,333.79122412192476,54.19047619047619,95.36892117769278,27.595238095238095,47.68446058884639,27.595238095238095,47.68446058884639,5.833333333333333,4.772465061603661,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.649637151,-6.854630259072614E-13,23000.0,93.30869565217391,16.19834776485364,-106.02409638554245,-106.85483870967745,23000.0,-1.0,42.0,575.0,491868.28571428574,1290472.023339055,-202.3333333333333,357.8765740816557,57.66666666666667,102.2504497376159,29.333333333333336,51.12522486880795,29.333333333333336,51.12522486880795,5.928571428571429,4.850913201142381,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.741984596,-7.093533759729729E-13,24000.0,93.40416666666667,16.31883212172731,-102.68886043533918,-103.73230373230349,24000.0,-1.0,42.0,602.0,531629.261904762,1393286.808075135,-210.59523809523813,376.0917804125004,60.02380952380953,107.45673845223529,30.500000000000004,53.735236202664055,30.500000000000004,53.735236202664055,5.952380952380953,4.828535004570232,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.87254029,-7.431282273804147E-13,25000.0,93.44,15.808576383192635,-101.72201722017222,-103.22180916976468,25000.0,-1.0,42.0,630.0,578576.8571428573,1562862.5578349393,-225.33333333333331,414.8549359549418,64.23809523809523,118.52998170141196,32.61904761904761,59.26499085070598,32.61904761904761,59.26499085070598,6.07142857142857,4.9257553940579095,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,3.02236457,-7.818878757663898E-13,26000.0,93.38461538461539,15.509744993031424,-97.92865362485625,-99.304750869061,26000.0,-1.0,42.0,656.0,631450.7380952379,1805658.8353217952,-241.9285714285714,466.7244130108778,68.97619047619048,133.35163274540466,34.976190476190474,66.68216863901367,34.976190476190474,66.68216863901367,6.261904761904763,5.027046477146537,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,3.144642089,-8.135211573810213E-13,27000.0,93.42222222222222,15.214224914318986,-94.09836065573802,-95.37953795379576,27000.0,-1.0,42.0,680.0,671417.5238095238,2021132.1760480301,-250.26190476190476,499.2526639045561,71.35714285714286,142.64535956795712,36.16666666666667,71.32882175536149,36.16666666666667,71.32882175536149,6.333333333333335,5.068634619951324,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,3.264986508,-8.446543446431557E-13,28000.0,93.36071428571428,15.060367076222093,-96.71957671957702,-97.55579171094593,28000.0,-1.0,42.0,707.0,715859.2857142858,2074947.3155023605,-261.595238095238,516.3942556747163,74.59523809523812,147.54297588454952,37.7857142857143,73.77769367243526,37.7857142857143,73.77769367243526,6.57142857142857,5.142566774613519,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,3.39928216,-8.793967258599069E-13,29000.0,93.33103448275862,15.081668826442163,-94.37185929648228,-95.15640766902122,29000.0,-1.0,42.0,734.0,767965.5238095239,2156135.3966910928,-275.2619047619048,541.872636440624,78.49999999999999,154.8225183722379,39.738095238095234,77.41748070193587,39.738095238095234,77.41748070193587,6.57142857142857,5.142566774613519,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.540441781,-9.159148207658695E-13,30000.0,93.27666666666666,14.966929218041846,-91.18483412322279,-91.54795821462487,30000.0,-1.0,42.0,761.0,822939.7857142859,2275893.770974904,-292.595238095238,576.7554353206332,83.45238095238096,164.78903029749256,42.214285714285694,82.40072688357043,42.214285714285694,82.40072688357043,6.7142857142857135,5.306625928558051,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,3.662135629,-9.473971062753764E-13,31000.0,93.15806451612903,14.65018739807839,-92.99363057324808,-93.16939890710346,31000.0,-1.0,42.0,787.0,879603.0476190476,2417924.151694337,-307.6666666666667,612.3572075133076,87.76190476190476,174.95920214665927,44.38095238095238,87.47960107332963,44.38095238095238,87.47960107332963,6.809523809523811,5.287989590955471,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,3.787443782,-9.798144150732292E-13,32000.0,93.0625,14.515830491341752,-92.20779220779191,-91.70984455958518,32000.0,-1.0,42.0,816.0,935109.1904761905,2534481.05305225,-322.09523809523813,643.6543084274812,91.88095238095237,183.90297049033333,46.428571428571416,91.95761029187489,46.428571428571416,91.95761029187489,6.880952380952382,5.365664921187084,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,3.934750954,-1.0179228858194416E-12,33000.0,92.98181818181817,14.59154143359572,-89.99179655455306,-88.90701468189243,33000.0,-1.0,42.0,842.0,1004374.4285714283,2739513.974284349,-339.4285714285715,687.8477264435198,96.83333333333336,196.52963739340623,48.9047619047619,98.27085753256573,48.9047619047619,98.27085753256573,6.976190476190477,5.434703731185422,0.0,0.0,0.0,0.0,1.0,0.0
