fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
25,1583,111,0.07012002526847758,0.75,0.75,0.75,0.012002526847757423,0.7894736842105263,0.13513513513513514,0.2307692307692308,0,0.2283464566929134
26,1110,57,0.051351351351351354,0.77,0.77,0.77,0.0,,0.0,,0,0.0753935376967688
27,1214,129,0.10626029654036244,0.8499999999999999,0.85,0.85,0.0,,0.0,,0,0.048
28,938,83,0.08848614072494669,0.75,0.75,0.75,0.02025586353944563,0.631578947368421,0.14457831325301204,0.2352941176470588,0,0.3333333333333333
29,1146,60,0.05235602094240838,0.75,0.75,0.75,0.004363001745200698,0.8,0.06666666666666667,0.12307692307692308,0,0.2008032128514056
30,1487,69,0.04640215198386012,0.8100000000000005,0.81,0.81,0.0013449899125756557,0.5,0.014492753623188406,0.028169014084507046,0,0.1057367829021372
31,1596,110,0.06892230576441102,0.8000000000000002,0.8,0.8,0.002506265664160401,1.0,0.03636363636363636,0.07017543859649122,0,0.1498502994011976
32,1057,22,0.020813623462630087,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.007568590350047304,1.0,0.36363636363636365,0.5333333333333333,0,0.0136134951168984
33,877,18,0.020524515393386546,0.7699999999999997,0.77,0.77,0.011402508551881414,1.0,0.5555555555555556,0.7142857142857143,0,0.0133928571428571
34,1553,101,0.06503541532517708,0.7800000000000001,0.78,0.78,0.0019317450096587251,1.0,0.0297029702970297,0.05769230769230769,0,0.3215258855585831
35,1168,72,0.06164383561643835,0.8399999999999999,0.8400000000000001,0.8400000000000001,0.004280821917808219,1.0,0.06944444444444445,0.12987012987012989,0,0.2230215827338129
36,934,38,0.04068522483940043,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.0021413276231263384,0.5,0.02631578947368421,0.05,0,0.1263157894736842
37,790,18,0.02278481012658228,0.8100000000000003,0.81,0.81,0.0,,0.0,,0,0.098876404494382
38,1579,66,0.04179860671310956,0.75,0.75,0.75,0.0018999366687777073,1.0,0.045454545454545456,0.08695652173913045,0,0.1514084507042253
39,1316,61,0.04635258358662614,0.75,0.75,0.75,0.0,,0.0,,0,0.1991525423728813
40,1717,56,0.032615026208503206,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.0,,0.0,,0,0.0510948905109489
41,944,26,0.02754237288135593,0.75,0.75,0.75,0.0,,0.0,,0,0.0400677200902934
42,957,60,0.06269592476489028,0.7899999999999999,0.79,0.79,0.0,,0.0,,0,0.0524795377948964
43,1231,44,0.03574329813160033,0.7900000000000001,0.79,0.79,0.0016246953696181965,1.0,0.045454545454545456,0.08695652173913045,0,0.1061827956989247
44,1554,105,0.06756756756756757,0.78,0.78,0.78,0.0,,0.0,,0,0.273972602739726
45,1456,78,0.05357142857142857,0.76,0.76,0.76,0.0,,0.0,,0,0.0845824411134903
46,1197,94,0.0785296574770259,0.75,0.75,0.75,0.017543859649122806,0.6190476190476191,0.13829787234042554,0.22608695652173913,0,0.2493438320209973
47,1435,130,0.09059233449477352,0.8300000000000002,0.8300000000000001,0.8300000000000001,0.011149825783972125,0.875,0.1076923076923077,0.1917808219178082,0,0.3529411764705882
48,1274,85,0.06671899529042387,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.1053892215568862
49,1649,184,0.11158277744087326,0.79,0.79,0.79,0.013341419041843541,0.9090909090909091,0.10869565217391304,0.19417475728155342,0,0.2927461139896373
50,1237,95,0.07679870654810024,0.7999999999999999,0.8,0.8,0.002425222312045271,1.0,0.031578947368421054,0.061224489795918366,0,0.1629213483146067
51,1274,195,0.15306122448979592,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.05416012558869702,0.6956521739130435,0.24615384615384617,0.36363636363636365,0,0.4871794871794871
52,981,133,0.13557594291539246,0.78,0.78,0.78,0.04383282364933741,0.8372093023255814,0.2706766917293233,0.4090909090909091,0,0.448087431693989
53,1205,93,0.07717842323651453,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.017427385892116183,0.5238095238095238,0.11827956989247312,0.1929824561403509,0,0.238095238095238
54,1529,100,0.06540222367560497,0.9000000000000002,0.9,0.9,0.0013080444735120995,0.5,0.01,0.0196078431372549,0,0.2523540489642185
55,835,21,0.025149700598802394,0.8,0.8,0.8,0.004790419161676647,0.5,0.09523809523809523,0.16,0,0.1282894736842105
56,1684,153,0.09085510688836104,0.78,0.78,0.78,0.019596199524940617,0.9696969696969697,0.20915032679738563,0.34408602150537637,0,0.2860520094562648
57,1409,71,0.050390347764371894,0.7699999999999999,0.77,0.77,0.0007097232079489,1.0,0.014084507042253521,0.02777777777777778,0,0.2511415525114155
58,877,18,0.020524515393386546,0.76,0.76,0.76,0.010262257696693273,1.0,0.5,0.6666666666666666,0,0.0128449096098953
