run_id,run_label,run_family,run_order,reference_run_id,reference_run_label,protocol,score_type,n_race_clusters,n_rows_common_run,n_rows_common_ref,ap_run_point,ap_ref_point,ap_delta_point,ap_delta_mean_bootstrap,ap_delta_std_bootstrap,ap_delta_ci95_low,ap_delta_ci95_high,bootstrap_reps
p1,P1 percent_conservative_v1,p_family,7,e0,E0 no_source_year,ml_pretrain,raw_proba,74,103015,103015,0.4229445250539579,0.42727355484276475,-0.004329029788806837,-0.004899628790916411,0.009227577084284243,-0.022231165793234402,0.013213534608279521,2000
p1,P1 percent_conservative_v1,p_family,7,e0,E0 no_source_year,ml_pretrain,calibrated_proba,74,103015,103015,0.41360826505367426,0.41782571605086505,-0.004217450997190786,-0.004534962837515574,0.008727927090600714,-0.021540056517625368,0.012996663878120755,2000
p1,P1 percent_conservative_v1,p_family,7,e0,E0 no_source_year,ml_racewise,raw_proba,95,123129,123129,0.4017980760948582,0.4055321526704756,-0.0037340765756174177,-0.004199221443388531,0.008637954996676347,-0.020829299369383332,0.012510578889689086,2000
p1,P1 percent_conservative_v1,p_family,7,e0,E0 no_source_year,ml_racewise,calibrated_proba,95,123129,123129,0.39178227263952603,0.39283982709286047,-0.0010575544533344416,-0.0010056420585852935,0.008258504224768076,-0.01676115915208777,0.015579360505278488,2000
p2,P2 percent_team_v1,p_family,8,e0,E0 no_source_year,ml_pretrain,raw_proba,74,103015,103015,0.41463423945417344,0.42727355484276475,-0.01263931538859131,-0.013114116306425044,0.009289434228474155,-0.031045126984737735,0.004828833281647506,2000
p2,P2 percent_team_v1,p_family,8,e0,E0 no_source_year,ml_pretrain,calibrated_proba,74,103015,103015,0.40495808121330407,0.41782571605086505,-0.012867634837560982,-0.013023650453273269,0.008524602189570425,-0.030239243807609343,0.0037355865747872976,2000
p2,P2 percent_team_v1,p_family,8,e0,E0 no_source_year,ml_racewise,raw_proba,95,123129,123129,0.39255264253339966,0.4055321526704756,-0.012979510137075934,-0.013511114458276808,0.008857891405188367,-0.030702785037864343,0.002963772281734878,2000
p2,P2 percent_team_v1,p_family,8,e0,E0 no_source_year,ml_racewise,calibrated_proba,95,123129,123129,0.38054432004827266,0.39283982709286047,-0.012295507044587817,-0.012221055591684125,0.00881542647963486,-0.029598139231927553,0.004864555875661238,2000
p3,P3 percent_race_team_v1,p_family,9,e0,E0 no_source_year,ml_pretrain,raw_proba,74,103015,103015,0.40628301938225936,0.42727355484276475,-0.02099053546050539,-0.021636951482663706,0.009690544548436934,-0.04104396977313247,-0.0026645674661165126,2000
p3,P3 percent_race_team_v1,p_family,9,e0,E0 no_source_year,ml_pretrain,calibrated_proba,74,103015,103015,0.39721104450300165,0.41782571605086505,-0.020614671547863395,-0.020883881908421786,0.009390802458627895,-0.03859257876796898,-0.002144512003739085,2000
p3,P3 percent_race_team_v1,p_family,9,e0,E0 no_source_year,ml_racewise,raw_proba,95,123129,123129,0.3858098439093941,0.4055321526704756,-0.019722308761081497,-0.020221825999780046,0.009196605211576647,-0.03829824657236816,-0.0025581553545381756,2000
p3,P3 percent_race_team_v1,p_family,9,e0,E0 no_source_year,ml_racewise,calibrated_proba,95,123129,123129,0.3772749054343897,0.39283982709286047,-0.015564921658470787,-0.015524152629165816,0.009136798381226396,-0.03269343159901341,0.002273572753404192,2000
p4,P4 percent_race_team_v1_strict,p_family,10,e0,E0 no_source_year,ml_pretrain,raw_proba,74,103015,103015,0.39964744407527836,0.42727355484276475,-0.02762611076748639,-0.02801300249464414,0.010325110472397214,-0.048474783134891765,-0.007361944355658022,2000
p4,P4 percent_race_team_v1_strict,p_family,10,e0,E0 no_source_year,ml_pretrain,calibrated_proba,74,103015,103015,0.390786919971153,0.41782571605086505,-0.027038796079712046,-0.02723949986503219,0.009991240735957982,-0.04713431599995337,-0.007414997806682781,2000
p4,P4 percent_race_team_v1_strict,p_family,10,e0,E0 no_source_year,ml_racewise,raw_proba,95,123129,123129,0.3799481819031137,0.4055321526704756,-0.025583970767361908,-0.025775095995681275,0.00980280535915973,-0.04536558484255915,-0.0070888205848450535,2000
p4,P4 percent_race_team_v1_strict,p_family,10,e0,E0 no_source_year,ml_racewise,calibrated_proba,95,123129,123129,0.36947413507125965,0.39283982709286047,-0.023365692021600826,-0.023180488446848335,0.00971537093405415,-0.04197475860832208,-0.004476010725097138,2000
p5,P5 percent_race_team_aggressive_v1,p_family,11,e0,E0 no_source_year,ml_pretrain,raw_proba,74,103015,103015,0.3877749816650535,0.42727355484276475,-0.03949857317771127,-0.03978954838700987,0.010501559237867374,-0.05993197166448765,-0.01843550535422159,2000
p5,P5 percent_race_team_aggressive_v1,p_family,11,e0,E0 no_source_year,ml_pretrain,calibrated_proba,74,103015,103015,0.3749425452066513,0.41782571605086505,-0.042883170844213725,-0.04301615045507004,0.011287591035034222,-0.06465638172030283,-0.020646670783175985,2000
p5,P5 percent_race_team_aggressive_v1,p_family,11,e0,E0 no_source_year,ml_racewise,raw_proba,95,123129,123129,0.3696298465106308,0.4055321526704756,-0.0359023061598448,-0.035833321359705704,0.009879924399082375,-0.05512747952552266,-0.017095789138115422,2000
p5,P5 percent_race_team_aggressive_v1,p_family,11,e0,E0 no_source_year,ml_racewise,calibrated_proba,95,123129,123129,0.35570733772095875,0.39283982709286047,-0.03713248937190172,-0.0367481652899426,0.010796905327599476,-0.0575433671600327,-0.01580073384047978,2000
