learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
15000.0,1.537961957,-3.978718581816388E-13,15000.0,94.00666666666667,12.822585525019647,-102.9345372460497,-108.10185185185132,15000.0,-1.0,42.0,366.0,209720.64285714284,761390.108224066,-112.76190476190477,248.30673492863124,32.07142857142856,70.9463530945855,16.523809523809522,35.478772832764825,16.523809523809522,35.478772832764825,4.476190476190478,3.723610202269253,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.618116181,-4.186078132544126E-13,16000.0,94.0125,12.211144568393822,-101.26050420168033,-106.02150537634418,16000.0,-1.0,42.0,387.0,229275.61904761902,878750.1633493365,-120.92857142857143,278.5387298775735,34.404761904761905,79.58399751016549,17.690476190476193,39.79734523272362,17.690476190476193,39.79734523272362,4.595238095238096,3.6563311199891566,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.677936106,-4.3408327063338617E-13,17000.0,94.21764705882353,11.958288744359042,-100.20366598778008,-105.21920668058493,17000.0,-1.0,42.0,411.0,253394.90476190482,1027919.4815485142,-125.26190476190477,296.7158499078323,35.64285714285714,84.77741917157968,18.309523809523807,42.393906657902285,18.309523809523807,42.393906657902285,4.666666666666667,3.673681390560373,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.779947716,-4.604737470961278E-13,18000.0,94.34444444444445,12.025728585545728,-96.14643545279363,-100.78895463510852,18000.0,-1.0,42.0,439.0,285849.3095238095,1193899.48651644,-136.42857142857142,327.27762085877885,38.833333333333336,93.50933608447527,19.904761904761898,46.759795907986614,19.904761904761898,46.759795907986614,4.80952380952381,3.743209104746662,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.882948977,-4.871202469803392E-13,19000.0,94.53684210526315,12.136735946121036,-94.74671669793668,-99.2322456813825,19000.0,-1.0,42.0,466.0,324260.5714285715,1357875.6539999216,-146.5952380952381,352.7440901666574,41.73809523809524,100.78546631669488,21.35714285714285,50.397842302134336,21.35714285714285,50.397842302134336,5.023809523809523,3.872908374840165,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.970235922,-5.09701442076928E-13,20000.0,94.535,12.099542242080986,-96.93693693693648,-101.28913443830557,20000.0,-1.0,42.0,490.0,356797.8571428571,1549101.843587951,-155.26190476190476,380.4622387290524,44.21428571428571,108.704911755271,22.595238095238095,54.357470608165144,22.595238095238095,54.357470608165144,5.142857142857143,3.9047902324685615,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.059169654,-5.327086621481511E-13,21000.0,94.65238095238095,11.877054609284391,-93.28743545611043,-97.36379613356783,21000.0,-1.0,42.0,515.0,390329.0,1732060.936380619,-164.59523809523807,412.53493921646464,46.88095238095238,117.86850928894314,23.92857142857143,58.93915542160277,23.92857142857143,58.93915542160277,5.357142857142858,4.011090895780851,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.253950388,-5.830985773354768E-13,22000.0,94.32727272727273,12.914338043981552,-85.99105812220587,-88.23529411764714,22000.0,-1.0,42.0,545.0,442498.3095238095,1791190.921449088,-188.76190476190473,450.4753483698817,53.785714285714285,128.7086965648731,27.380952380952376,64.35949050903871,27.380952380952376,64.35949050903871,5.6190476190476195,4.271016220836994,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.387272211,-6.175890282934738E-13,23000.0,94.05217391304348,14.416388532622971,-83.1325301204821,-83.87096774193544,23000.0,-1.0,42.0,574.0,480910.119047619,1807893.9301011132,-204.59523809523807,464.9397579400547,58.309523809523824,132.84145843002662,29.642857142857142,66.42612673932487,29.642857142857142,66.42612673932487,5.880952380952382,4.283845895479166,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.473856379,-6.399884144775569E-13,24000.0,94.08333333333333,14.729041772110696,-81.81818181818178,-82.75418275418261,24000.0,-1.0,42.0,599.0,514906.0476190475,1845109.0011818912,-214.42857142857144,476.5304045712469,61.11904761904761,136.15310649715983,31.047619047619055,68.08207112615587,31.047619047619055,68.08207112615587,6.0238095238095255,4.302512568471858,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.57774657,-6.668648811885051E-13,25000.0,94.124,14.47490514399496,-80.68880688806902,-82.0322180916979,25000.0,-1.0,42.0,620.0,549074.7619047618,1882684.8470903982,-226.7619047619048,487.8480775877256,64.64285714285715,139.38677920099838,32.8095238095238,69.69908775525009,32.8095238095238,69.69908775525009,6.142857142857143,4.342481186734474,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,2.703406952,-6.99373311880562E-13,26000.0,94.10384615384615,14.180213584860052,-76.40966628308433,-77.63615295480868,26000.0,-1.0,42.0,647.0,599165.7380952381,1987388.8017140585,-242.76190476190476,514.3926472904986,69.21428571428571,146.97096705402203,35.09523809523808,73.49126695216657,35.09523809523808,73.49126695216657,6.238095238095237,4.360630541838622,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,2.797336111,-7.236728524892693E-13,27000.0,94.03703703703704,13.703924059453149,-75.9562841530055,-77.11771177117723,27000.0,-1.0,42.0,676.0,640745.7380952382,2103278.7268414656,-254.33333333333334,536.4180053118689,72.52380952380955,153.26228723196255,36.761904761904766,76.63114361598127,36.761904761904766,76.63114361598127,6.261904761904762,4.356433559296198,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,2.900505567,-7.503628645402688E-13,28000.0,93.89285714285714,13.67293118477739,-80.95238095238119,-81.72157279489912,28000.0,-1.0,42.0,702.0,685903.3333333334,2254207.852767382,-263.92857142857144,557.4193758985937,75.26190476190477,159.26432386074407,38.11904761904762,79.63796201682209,38.11904761904762,79.63796201682209,6.428571428571427,4.543249385910749,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,2.995732051,-7.749980240542854E-13,29000.0,93.68275862068965,12.992476128858272,-84.12060301507536,-84.86377396569135,29000.0,-1.0,42.0,730.0,736651.7142857143,2458991.4770422755,-276.2619047619048,589.9916931835156,78.78571428571428,168.5706822460299,39.88095238095239,84.29107593332569,39.88095238095239,84.29107593332569,6.476190476190475,4.575854419685026,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.181261317,-8.229945778536299E-13,30000.0,93.62333333333333,12.903189823923752,-81.32701421800932,-81.67141500474816,30000.0,-1.0,42.0,750.0,783989.7142857143,2588040.579288125,-291.6666666666667,619.1887165207927,83.19047619047616,176.91106186308363,42.09523809523808,88.45553093154182,42.09523809523808,88.45553093154182,6.57142857142857,4.727412828995277,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,3.369724553,-8.717501517902645E-13,31000.0,93.63870967741936,12.718456571278535,-79.43585077343026,-79.59927140254993,31000.0,-1.0,42.0,779.0,839623.9285714284,2607268.397204381,-314.2619047619047,633.420064817461,89.64285714285715,180.97888590345875,45.30952380952382,90.49551615229426,45.30952380952382,90.49551615229426,6.999999999999999,4.74727136003975,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,3.504707778,-9.066704086338479E-13,32000.0,93.621875,12.439502858224458,-76.70995670995657,-76.25215889464579,32000.0,-1.0,42.0,806.0,886619.0714285712,2651725.88771974,-328.26190476190476,642.7900335987206,93.64285714285712,183.6560705906787,47.3095238095238,91.83428556179744,47.3095238095238,91.83428556179744,7.095238095238095,4.792318669977083,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,3.619595953,-9.363920616710352E-13,33000.0,93.5878787878788,13.181316173633945,-73.5849056603774,-72.59380097879283,33000.0,-1.0,42.0,829.0,938028.3571428572,2736369.4968362357,-341.0952380952381,659.0447192171339,97.3095238095238,188.30029054486323,49.14285714285714,94.15647884617817,49.14285714285714,94.15647884617817,7.190476190476189,4.870208565865433,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,3.758387429,-9.72297515771869E-13,34000.0,93.42058823529412,13.234084783639569,-74.62919594067115,-73.81507381507394,34000.0,-1.0,42.0,850.0,991212.642857143,2765498.3951341226,-356.59523809523813,664.1082434371384,101.73809523809524,189.7470793533135,51.35714285714286,94.88010956801025,51.35714285714286,94.88010956801025,7.5,5.027970545347103,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.873853451,-1.0021686582412156E-12,35000.0,93.31714285714285,13.211033174492831,-74.6825989544436,-73.64513734224232,35000.0,-1.0,42.0,875.0,1042364.4285714288,2836827.082950178,-369.26190476190476,675.9361010182088,105.35714285714286,193.12649985886242,53.166666666666664,96.5699333774251,53.166666666666664,96.5699333774251,7.571428571428572,5.170945364069141,0.0,0.0,0.0,0.0,1.0,0.0
