fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
32,1553,101,0.06503541532517708,0.33,0.33,0.33,0.0,,0.0,,0,0.0915750915750915
33,938,83,0.08848614072494669,0.25,0.25,0.25,0.0,,0.0,,0,0.1325301204819277
34,1596,110,0.06892230576441102,0.12999999999999998,0.13,0.13,0.023182957393483708,0.2702702702702703,0.09090909090909091,0.13605442176870747,0,0.0734126984126984
35,1168,72,0.06164383561643835,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0692810457516339
36,1231,44,0.03574329813160033,0.33,0.33,0.33,0.0,,0.0,,0,0.0403768506056527
37,934,38,0.04068522483940043,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0428736964078794
38,944,26,0.02754237288135593,0.29999999999999993,0.3,0.3,0.0,,0.0,,0,0.0377358490566037
39,1197,94,0.0785296574770259,0.9900000000000002,0.99,0.99,0.0,,0.0,,0,0.0603864734299516
40,1579,66,0.04179860671310956,0.5,0.5,0.5,0.0,,0.0,,0,0.0992779783393501
41,1456,78,0.05357142857142857,0.33,0.33,0.33,0.0,,0.0,,0,0.0906040268456375
42,1297,95,0.07324595219737856,0.99,0.99,0.99,0.0,,0.0,,0,0.1394557823129251
43,877,18,0.020524515393386546,0.99,0.99,0.99,0.0,,0.0,,0,0.0585365853658536
44,1057,22,0.020813623462630087,0.9900000000000001,0.99,0.99,0.001892147587511826,1.0,0.09090909090909091,0.16666666666666669,0,0.0369955156950672
45,790,18,0.02278481012658228,0.99,0.99,0.99,0.0,,0.0,,0,0.0631834750911299
46,1274,195,0.15306122448979592,0.66,0.66,0.66,0.009419152276295133,0.6666666666666666,0.041025641025641026,0.07729468599033817,0,0.24
47,1071,95,0.08870214752567694,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.0812274368231047
48,1274,85,0.06671899529042387,0.5,0.5,0.5,0.0,,0.0,,0,0.0671217292377702
49,1079,98,0.09082483781278962,0.99,0.99,0.99,0.0,,0.0,,0,0.0699881376037959
50,835,21,0.025149700598802394,0.7699999999999998,0.77,0.77,0.0,,0.0,,0,0.0519835841313269
51,1322,102,0.07715582450832073,0.9900000000000001,0.99,0.99,0.0015128593040847202,1.0,0.0196078431372549,0.038461538461538464,0,0.0889192886456908
52,1409,71,0.050390347764371894,0.7999999999999998,0.8,0.8,0.0,,0.0,,0,0.1338432122370937
53,1752,64,0.0365296803652968,0.99,0.99,0.99,0.0,,0.0,,0,0.0721649484536082
54,1529,100,0.06540222367560497,0.61,0.61,0.61,0.0,,0.0,,0,0.1220472440944882
55,1557,161,0.10340398201669879,0.71,0.7100000000000001,0.7100000000000001,0.0006422607578676942,1.0,0.006211180124223602,0.01234567901234568,0,0.3248175182481752
56,1649,184,0.11158277744087326,0.6599999999999999,0.66,0.66,0.0018192844147968466,1.0,0.016304347826086956,0.03208556149732621,0,0.1515837104072398
57,1205,93,0.07717842323651453,0.75,0.75,0.75,0.0008298755186721991,1.0,0.010752688172043012,0.021276595744680854,0,0.0789473684210526
58,1562,157,0.10051216389244558,0.7999999999999999,0.8,0.8,0.0,,0.0,,0,0.1012658227848101
59,981,133,0.13557594291539246,0.8699999999999997,0.87,0.87,0.0010193679918450561,1.0,0.007518796992481203,0.014925373134328356,0,0.1703056768558952
60,1684,153,0.09085510688836104,0.9000000000000002,0.9,0.9,0.0023752969121140144,1.0,0.026143790849673203,0.05095541401273886,0,0.1122661122661122
61,1269,124,0.09771473601260836,0.99,0.99,0.99,0.0,,0.0,,0,0.1464968152866242
62,1237,95,0.07679870654810024,0.8100000000000003,0.81,0.81,0.0,,0.0,,0,0.0910931174089068
63,1416,81,0.057203389830508475,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0768245838668373
64,1355,126,0.0929889298892989,0.9899999999999999,0.99,0.99,0.0,,0.0,,0,0.1358024691358024
65,1717,102,0.0594059405940594,0.7599999999999999,0.76,0.76,0.0011648223645894002,0.0,0.0,,0,0.1732851985559566
66,1647,80,0.048573163327261686,0.78,0.78,0.78,0.0,,0.0,,0,0.0862068965517241
67,1435,130,0.09059233449477352,0.8,0.8,0.8,0.0,,0.0,,0,0.2300884955752212
68,877,18,0.020524515393386546,0.6700000000000002,0.67,0.67,0.002280501710376283,1.0,0.1111111111111111,0.19999999999999998,0,0.0537261698440207
69,1057,88,0.08325449385052035,0.75,0.75,0.75,0.0,,0.0,,0,0.0684563758389261
70,1046,57,0.05449330783938815,0.7599999999999998,0.76,0.76,0.0028680688336520078,0.0,0.0,,0,0.1952191235059761
71,1591,242,0.15210559396605908,0.8000000000000002,0.8,0.8,0.0,,0.0,,0,0.094391244870041
72,1321,118,0.08932626797880394,0.99,0.99,0.99,0.0,,0.0,,0,0.1590909090909091
73,1425,112,0.07859649122807018,0.99,0.99,0.99,0.0,,0.0,,0,0.1218487394957983
74,1400,132,0.09428571428571429,0.99,0.99,0.99,0.0,,0.0,,0,0.2035714285714285
75,1504,124,0.08244680851063829,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0006648936170212766,1.0,0.008064516129032258,0.016,0,0.1744084136722173
76,2189,116,0.05299223389675651,0.8800000000000001,0.88,0.88,0.0,,0.0,,0,0.0967213114754098
77,1924,148,0.07692307692307693,0.66,0.66,0.66,0.0,,0.0,,0,0.0935483870967742
78,1906,227,0.11909758656873033,0.8,0.8,0.8,0.0,,0.0,,0,0.1368421052631579
